week,pctile_95
1,23.66145563
2,24.50169163
3,29.09633427
4,31.58204756
5,31.77062836
6,36.41910801
7,37.98160686
8,39.04975548
9,39.10940075
10,37.25809078
11,34.99558086
12,37.1030344
13,35.79386406
14,27.30052147
15,21.75399017
16,12.67173481
17,6.983043408
18,8.603985882
19,5.163630342
20,4.731389546
21,2.426591778
22,2.866114616
23,2.909961939
24,3.669374704
25,8.110892105
26,9.370949268
27,10.23337603
28,8.638678074
29,11.19992366
30,5.957930946
31,2.853616273
32,4.700560522
33,3.301845098
34,3.609669578
35,3.513888431
36,0.839394319
37,0.949454394
38,0.879578626
39,0.906507376
40,0.954465234
41,1.124844313
42,1.69697727
43,0.807894158
44,0.791284186
45,1.787947297
46,1.219954491
47,2.369029284
48,4.88780756
49,9.275732231
50,13.18158703
51,15.78058758
52,19.91625309
53,19.07329483